x,n06,n13
3.40909e-07,1.96538,1.01971
3.45455e-07,2.12453,1.15231
3.61364e-07,2.68154,1.61639
3.68182e-07,2.83231,1.81529
3.75e-07,2.96154,2.01418
3.81818e-07,3.02212,2.21308
3.84091e-07,3.04231,2.28128
3.88636e-07,3.05487,2.41769
3.97727e-07,3.08,2.52969
4e-07,3.06923,2.55769
4.18182e-07,2.98308,2.61692
4.20455e-07,2.97231,2.61214
4.36364e-07,2.85385,2.57863
4.38636e-07,2.84248,2.57385
4.56818e-07,2.75154,2.49726
4.59091e-07,2.74137,2.48769
4.77273e-07,2.66,2.41769
4.95455e-07,2.59299,2.35308
4.97727e-07,2.58462,2.34709
5.15909e-07,2.51462,2.29923
5.31818e-07,2.46077,2.26154
5.36364e-07,2.4512,2.25077
5.52273e-07,2.41769,2.21308
5.54545e-07,2.41291,2.20769
5.70455e-07,2.3794,2.17538
5.72727e-07,2.37462,2.17179
5.90909e-07,2.34111,2.14308
5.93182e-07,2.33692,2.14009
6.09091e-07,2.30462,2.11915
6.11364e-07,2.30192,2.11615
6.27273e-07,2.28308,2.10202
6.29545e-07,2.28106,2.1
6.45455e-07,2.26692,2.08325
6.5e-07,2.26333,2.07846
6.65909e-07,2.25077,2.06231
6.88636e-07,2.23462,2.04762
6.90909e-07,2.23379,2.04615
7.18182e-07,2.22385,2.03124
7.20455e-07,2.22336,2.03
7.43182e-07,2.21846,2.02103
7.47727e-07,2.21692,2.01923
7.75e-07,2.20769,2.01385
8.04545e-07,2.21308,2.00846
8.34091e-07,2.21846,2.01385
8.63636e-07,2.22385,2.01923
8.88636e-07,2.23372,2.03
8.90909e-07,2.23462,2.03077
9.15909e-07,2.25615,2.03923
9.20455e-07,2.25781,2.04077
9.45455e-07,2.26692,2.05064
9.47727e-07,2.26808,2.05154
9.75e-07,2.28192,2.06769
9.77273e-07,2.28308,2.06852
1.00455e-06,2.30296,2.07846
1.00682e-06,2.30462,2.0799
1.03864e-06,2.32077,2.1
1.075e-06,2.34769,2.12393
1.07955e-06,2.35068,2.12692
1.11591e-06,2.37462,2.15226
1.11818e-06,2.37557,2.15385
1.15455e-06,2.39077,2.16905
1.15682e-06,2.39212,2.17
1.19091e-06,2.41231,2.19376
1.19545e-06,2.41421,2.19692
1.22727e-06,2.42751,2.21846
1.22955e-06,2.42846,2.21996
1.26818e-06,2.45538,2.24538
1.30682e-06,2.47692,2.26064
1.30909e-06,2.47819,2.26154
1.34545e-06,2.49846,2.28181
1.34773e-06,2.49944,2.28308
1.39318e-06,2.51902,2.29923
1.39545e-06,2.52,2.29997
1.44318e-06,2.53077,2.31538
1.48864e-06,2.55769,2.33497
1.49318e-06,2.55931,2.33692
1.53409e-06,2.57385,2.35146
1.53864e-06,2.57483,2.35308
1.58409e-06,2.58462,2.35821
1.58636e-06,2.5851,2.35846
1.63409e-06,2.59538,2.37462
1.67955e-06,2.6159,2.38538
1.68182e-06,2.61692,2.38559
1.73864e-06,2.62769,2.39077
1.79545e-06,2.63308,2.40112
1.79773e-06,2.63372,2.40154
1.85227e-06,2.64923,2.41231
1.91136e-06,2.66,2.41769
1.96591e-06,2.67077,2.42803
1.96818e-06,2.67077,2.42846
1.99773e-06,2.67077,2.42846
2.00455e-06,2.67077,2.42846
